year	project	student	mentors
2013	Highfrequency: add inferential methods to highfrequency	giangnguyen	Kris Boudt, Jonathan Cornelissen, Brian G. Peterson, Daniele Signori
2013	Addressing IID Assumptions in Finance: Autocorrelation and Drawdowns in Performance Analysis	pulkit	Paul Teetor, Peter Carl, Doug Martin, Brian G. Peterson, Daniele Signori
2013	robgpu	Roland Boubela	Andreas
2013	PortfolioAnalytics	Ross Bennett	Paul Teetor, Peter Carl, Guy Yollin, Brian G. Peterson, Doug Martin
2013	Addressing IID Assumptions in Finance: Autocorrelation and Drawdowns in Performance Analysis	Shubhankit Mohan	Paul Teetor, Peter Carl, Doug Martin, Brian G. Peterson, Daniele Signori
2013	Improve display of imported vector graphics in R	Simon Potter	Toby Dylan Hocking, Paul Murrell
2013	Improve rendering of animated/interactive ggplots in d3 using animint	Susan VanderPlas	Toby Dylan Hocking
2013	Handle parallel (vectorized) objective functions in a new optimization wrapper package	thirdwing	Y. Richet, Joshua Ulrich
2013	CAMEL: Calibrated Machine Learning	tourzhao	Han Liu
2013	Biodiversity data visualization in R	Vijay Barve	Javier Otegui, Virgilio Gómez-Rubio
2013	Collection of functionality ported from the MATLAB code of Attilio Meucci	Xavi	David Ardia, Brian G. Peterson, Peter Carl
2013	A package extension for Exponential Random Graph Model with block structure	Xiaolin Yang	Michael Rosenblum, Han Liu
2013	Linear factor model for asset returns	Yi-An Chen	Brian G. Peterson, Peter Carl, Eric Zivot, Doug Martin
2012	Bayesian Spatial Econometrics with R	Abhirup Mallik	Virgilio Gómez-Rubio
2012	Portfolio Performance Measurement and Benchmarking	Andrii Babii	Doug Martin
2012	BigMatrix: Super Scalable Predictive Analytics for Big Matrices in R	Fang	Rafa
2012	Add additional closed form and global optimizer backends to PortfolioAnalytics	Hezky Varon	Guy Yollin
2012	xtend RTAQ for additional high frequency time series analysis	Jonathan Cornelissen	Kris Boudt
2012	Develop an R package interfacing the computer algebra system Maxima	Kseniia Shumelchyk	Hans W Borchers
2012	Inclusion of Attilio Meucci's implementations in ReturnAnalytics	Manan Shah	Brian G. Peterson
2012	Additional performance measures and attribution functionality to PerformanceAnalytics	Matthieu	Peter Carl
2012	Improvements to xts time series visualization and subsetting	Michael Weylandt	Joshua Ulrich
2012	HyperSpec: Parallelization and Optimization	Simon Fuller	Claudia Beleites
2012	Dynamic report generation in the web with R	Taiyun Wei	Yihui Xie
2012	Aggregate CRAN package download statistics across multiple mirrors	Tim Jurka	hadley
2012	Interactive dendrogram	Tomas Sieger	cbhurley
2012	SAM: A General-purpose Classifier for Modern Predictive Data Analysis	tourzhao	Roeder
2012	Access and visualization of biodiversity data in R	Vijay Barve	Scott Chamberlain
2012	Biganalysis: A robust, general-purpose R package for large scale classification	Xiaolin Yang	Han Liu
2011	optile Category order optimization for graphical displays of categorical data	Alexander Pilhöfer	Rosuda93
2011	Manipulating RStudio Graphics Towards Creating Intuitive Mathematical Comprehension	Andrew Rich	Daniel Kaplan, JJ Allaire
2011	R-EM-Accelerator---Smarter Iterative Schemes Save Your Time	Hui Zhao	Roger Peng, Ravi Varadhan
2011	Convergence acceleration of the Expectation-Maximization (EM) algorithms in computational statistics: A suite of cutting-edge acceleration schemes	Jennifer	Ravi Varadhan
2011	SMART: Sparse Multivariate Adaptive Regression Toolkit	Juemin	Han Liu
2011	Exploratory visualization of dynamic stochastic processes	Kåre Jacobsen	Niels Richard Hansen
2011	OpenMP parallel framework for R	Lei Jiang	f.jamitzky, prag, ostrouchovg
2011	DClusterm: Model-based detection of disease clusters	Paula Moraga	Barry Rowlingson, Virgilio Gómez-Rubio
2011	Developing a hyperSpec GUI	Sebastian Mellor	Colin Gillespie, Claudia Beleites
2011	Image Analysis in R	Sunil Kumar	Ian Fellows
2011	HUGE: High-dimensional Undirected Graph Estimation	tourzhao	Roeder, Han Liu
2011	Cranvastime: Interactive longitudinal and temporal data plots	Xiaoyue Cheng	Dianne Cook, Heike Hofmann
2011	Proposal for Components in TradeAnalytics Toolchain enhancements	Yi-An Chen	Brian G. Peterson
2011	A GUI based package to assist optimization problems in R	yixuan	John Nash
2010	rdx - Automatic Differentiation in R	Chidambaram Annamalai	John Nash
2010	Social Relations Analyses in R	Felix Schönbrodt	schmukle
2010	A GUI for Graphics Using ggplot2 and Deducer	Ian Fellows	hadley
2010	rgeos - an R wrapper for GEOS	rundel	Roger Bivand
2009	Development of crantastic.org	Bjørn Arild Mæland	hadley
2009	Implementation of the GUIDE algorithm	ESH	Torsten Hothorn
2009	RQuantLib - Bridging R and QuantLib	Khanh Nguyen	Dirk Eddelbuettel
2009	You cant control what you can't measure	mariane	Manuel Eugster
2008	Finite Mixture Models for Large Data Sets	Arijit Das	Friedrich Leisch
2008	Roxygen documentation system for R	Peter Danenberg	Manuel Eugster
2008	lme4: Adaptive Gauss-Hermite quadrature method for mixed-effects models	Bin Dai	Douglas M. Bates
2008	Connecting R and PostgreSQL using DBI	Sameer Kumar Prayaga	Dirk Eddelbuettel
2015	Test timings on Travis	Akash Tandon	Toby Dylan Hocking, hadley
2015	Convert Dowd's Code	Dinesh	Brian G. Peterson, Peter Carl
2015	Subsetted and parallel computations in matrixStats 	Dongcan Jiang	Henrik Bengtsson, Héctor Corrada Bravo
2015	Cov Matrix Estimation for MCMC	Dootika Vats	John Hughes, Charlie Geyer
2015	Predict methods for spatial econometrics	Martin Gubri	Roger Bivand, Giovanni Millo
2015	Stochastic Average Gradient	Ishmael Belghazi	John Nash, Toby Dylan Hocking
2015	GEO-analysis-with-Shiny	Jasmine Dumas	Garrett Dancik, Yuanbin Ru
2015	Multivariate Survival analysis	Vinnie Monaco	Malka Gorfine, Li Hsu
2015	Improving mlr’s hyperparameter and tuning system for efficient model selection	Kerschke	Bernd Bischl, Michel Lang
2015	Animint	Kevin Ferris	Carson Sievert, Susan VanderPlas, Toby Dylan Hocking
2015	nlmeviz	Nafiz Hamid	Eun-kyung Lee, Dianne Cook
2015	statistical algorithms in NIMBLE	Nick Michaud	Perry de Valpine, Chris Paciorek, Duncan Temple Lang
2015	covariance matrix estimators	Rohit Arora	Doug Martin
2015	pander	Roman Tsegelskyi	Gergely Daróczi
2015	factorAnalytics package	Sangeetha Srinivasan	Eric Zivot
2015	markovchain	Tae Seung Kang	G Spedicato, Giorgio A, Christophe Dutang
2015	Implement several ensemble SVMs in mlr	Tong He	Aydin Demircioglu, Bernd Bischl
2015	Animint	Tony Tsai	Carson Sievert, Susan VanderPlas, Toby Dylan Hocking
2015	Biodiversity SNS	Vijay Barve	Javier Otegui, Robert Guralnick, Jorge Soberón
2015	wrds package	Wouter	Guy Yollin
2015	Risk + Asset Allocation	Xavier Valls	Peter Carl, Brian G. Peterson
2015	SDCA	xingguo	Daniel Vainsencher, tourzhao
2015	Cpp Version of ARPACK and Integration with (Rcpp)Armadillo	Yixuan Qiu	Dirk Eddelbuettel, Ryan Curtin, Drew Schmidt
2015	Improving mlr’s visualisations	Zachary Jones	Lars Kotthoff, Julia Schiffner, Bernd Bischl
2016	postCP change-point detection	Malith Jayaweera	G Nuel, G Rigaill
2016	Biconvex minimization	xingguo	tourzhao
2016	Animint	Faizan Khan	Toby Dylan Hocking, Carson Sievert
2016	Discovr	Robin Kohze	R Brock, S Schmidt
2016	GAS	Leopoldo Catania	Kris Boudt, David Ardia
2016	ggduo	Barret Schloerke	Dianne Cook, Heike Hofmann, R Hafen 
2016	Hyperspectral Unmixing	Anton Belov	Claudia Beleites, Simon Fuller, Bryan Hanson 
2016	Deep learning with mxnet	Yuqi Li	Qiang Kou, Y Tang
2016	markovchain	Deepak Yadav	G Spedicato, C Dutang, SB Yalamanchi
2016	Text/Topic Modeling	Jan Idziak	M Eder, T Melcer
2016	factorAnalytics	Avinash Acharya	Doug Martin
2016	PostGIS	Balázs Dukai	M Basille, D Bucklin, C Calenge
2016	GARCH	Keven Bluteau	David Ardia, Kris Boudt
2016	ggmosaic	Haley Jeppson	Heike Hofmann, Dianne Cook 
2016	NicheToolbox	Luis Osorio	Vijay Barve, Narayani Barve, Jorge Soberón
2016	plot.xts	ChuuHsiang Hung	Brian G. Peterson, R Bennett, P Teetor, Joshua Ulrich, Peter Carl
2016	re2 regular expressions	Qin Wenfeng	M Gagolewski, Toby Dylan Hocking
2016	Regularized interval regression	Anuj Khare	Toby Dylan Hocking, J Goeman
2016	Rperform	Akash Tandon	Toby Dylan Hocking, Joshua Ulrich 
2016	Standard errors for risk	Xin Chen	Doug Martin, Peter Carl, Brian G. Peterson 
2016	Hyperparameter viz	Mason Gallo	Bernd Bischl, Lars Kotthoff
2016	Boundary detection	Nicholas Syring	M Li and Vijay Barve 
2017	GPU accelerated comparative phylogenetic analysis with uncertainty	Evandro Taquary	Erin Hodgess, Thiago Rangel
2017	Improved functionality for higher order comoment estimation in PerformanceAnalytics	cdries	Brian G. Peterson, Kris Boudt 
2017	Integrated Oversampling for Sequence Classification (IOSC)	lwei	Matthew Dixon, Diego Klabjan 
2017	MSGARCH	Leopoldo Catania	David Ardia, Kris Boudt, Brian G. Peterson 
2017	Sentometrics	Samuel Borms	Kris Boudt, David Ardia,Keven Bluteau 
2017	Animated interactive plots (animint)	Faizan Khan	Toby Dylan Hocking, Carson Sievert 
2017	Speed optimizations for iregnet	Rover Van	Toby Dylan Hocking, Anuj Khare 
2017	Rperform: Performance analysis and visualization for R	Devinder Kaur	Akash Tandon, Joshua Ulrich 
2017	Sparse matrix automatic conversion in RcppArmadillo	Binxiang Ni	Qiang Kou and Dirk Eddelbuettel
2017	bigPint: Big multivariate data plotted interactively	Lindsay Rutter	Dianne Cook, Roxane Legaie 
2017	Constrained Hierarchical Agglomerative Clustering	Shubham Chaturvedi	N Villa-Vialaneix, P Neuvial
2017	Interactive Genome Browser in R	Marlin	Toby Dylan Hocking, Miguel Pignatelli
2017	sugrrants: Visual methods for big temporal data	Earo Wang	Dianne Cook, Rob Hyndman 
2017	Operator Based Machine Learning Pipeline Construction	mb706	Bernd Bischl, Lars Kotthoff
2017	Integrating biodiversity data curation functionality	Thiloshon Nagarajah	Tomer Gueta, Yohay Carmel, Vijay Barve 
2017	Biodiversity data cleaning	Ashwin Agrawal	Vijay Barve, Yohay Carmel, Tomer Gueta
2017	nimbleEcology package: ecological statistics driven by NIMBLE	Coin Lewis-Beck	Perry de Valpine, Daniel Turek
2017	Graphical Models for Mixed Multi Modal Data	Xia Zhang	Genevera Allen, Zhandong Liu, Michael Weylandt 
2017	Distributional Assessments with Q-Q plots	Alexandre Almeida	Heike Hofmann, Adam Loy 
2017	metawRite: Meta analysis update package, LSR (Living systematic review).	Natalia da Silva	Heike Hofmann, Annette O’Connor 
2017	FireData: Connecting R to Google Firebase	Robin Kohze	S Schmidt, L. Pedraza
2017	control: Control Systems toolbox	Ben Ubah	Marijan Kostrun, Hans W Borchers
2017	keRas For Deep Convolutional Neural Networks	Wazeer Zulfikar	Krishna Sankar
2017	Interactive trajectory tool in rpostgisLT	Balázs Dukai	Mathieu Basille, David Bucklin, Clement Calenge
2017	Risk and Performance Standard Errors for Serially Correlated Returns	Xin Chen	Doug Martin, Aleksandr Aravkin, Daniel Hanson, Brian G. Peterson
2017	The markovchain package	Vandit Jain	SB Yalamanchi, G Spedicato
2017	Extending the RcppSMC Package	Leah Price	Dirk Eddelbuettel and Adam Johansen
2017	Portfolio Construction and Risk Management with Unequal Returns Histories	Pushpak Sarkar	Yindeng Jiang, Doug Martin, Peter Carl
2017	Parser for Biodiversity checklists	Qingyue Xue	Vijay Barve, Rohit George, Thomas V., Narayani Barve
2017	Noninvasive source code formatting	Lorenz Walthert	Kirill Müller, Yihui Xie 
2017	Estimating the empirical Cluster Tree	Matthew Piekenbrock	Michael Hahsler, Mikhail Belkin 
2017	advancing factorAnalytics	Chindhanai Uthaisaad	Eric Zivot, Doug Martin, Kjell Konis, Thomas Philips, Brian G. Peterson
2017	Bayesian Hierarchical Models in Finance	Luis Antonio Damiano	Brian G. Peterson , Michael Weylandt 
2017	Efficient Second order Optimization Solvers for Sparse Learning in R	Jason Ge	tourzhao and xingguo
2017	Stochastic variational inference	Zhehui Chen	tourzhao and xingguo
